rm -f *.o
rm -f temp.txt
# rm -f sample_run
rm -f rtree
g++ -std=c++11 -c buffer_manager.cpp
g++ -std=c++11 -c file_manager.cpp
g++ -std=c++11 -c -g rtree.cpp
g++ -std=c++11 -c -g main.cpp
g++ -std=c++11 -o rtree buffer_manager.o file_manager.o rtree.o main.o
total_search_time = 105 , fetch_t = 80 , diff = 23 %
total_search_time = 68 , fetch_t = 54 , diff = 20 %
total_search_time = 93 , fetch_t = 78 , diff = 16 %
total_search_time = 123 , fetch_t = 97 , diff = 21 %
total_search_time = 157 , fetch_t = 123 , diff = 21 %
total_search_time = 171 , fetch_t = 135 , diff = 21 %
total_search_time = 166 , fetch_t = 129 , diff = 22 %
total_search_time = 82 , fetch_t = 67 , diff = 18 %
total_search_time = 44 , fetch_t = 35 , diff = 20 %
total_search_time = 174 , fetch_t = 135 , diff = 22 %
total_search_time = 85 , fetch_t = 68 , diff = 20 %
total_search_time = 80 , fetch_t = 66 , diff = 17 %
total_search_time = 143 , fetch_t = 112 , diff = 21 %
total_search_time = 143 , fetch_t = 115 , diff = 19 %
total_search_time = 77 , fetch_t = 65 , diff = 15 %
total_search_time = 100 , fetch_t = 83 , diff = 17 %
total_search_time = 171 , fetch_t = 133 , diff = 22 %
total_search_time = 101 , fetch_t = 83 , diff = 17 %
total_search_time = 126 , fetch_t = 98 , diff = 22 %
total_search_time = 119 , fetch_t = 96 , diff = 19 %
total_search_time = 122 , fetch_t = 99 , diff = 18 %
total_search_time = 142 , fetch_t = 114 , diff = 19 %
total_search_time = 118 , fetch_t = 98 , diff = 16 %
total_search_time = 144 , fetch_t = 114 , diff = 20 %
total_search_time = 120 , fetch_t = 99 , diff = 17 %
total_search_time = 85 , fetch_t = 67 , diff = 21 %
total_search_time = 182 , fetch_t = 145 , diff = 20 %
total_search_time = 148 , fetch_t = 114 , diff = 22 %
total_search_time = 170 , fetch_t = 131 , diff = 22 %
total_search_time = 147 , fetch_t = 115 , diff = 21 %
total_search_time = 121 , fetch_t = 99 , diff = 18 %
total_search_time = 81 , fetch_t = 67 , diff = 17 %
total_search_time = 128 , fetch_t = 99 , diff = 22 %
total_search_time = 81 , fetch_t = 67 , diff = 17 %
total_search_time = 150 , fetch_t = 115 , diff = 23 %
total_search_time = 121 , fetch_t = 99 , diff = 18 %
total_search_time = 121 , fetch_t = 99 , diff = 18 %
total_search_time = 83 , fetch_t = 66 , diff = 20 %
total_search_time = 77 , fetch_t = 65 , diff = 15 %
total_search_time = 102 , fetch_t = 83 , diff = 18 %
total_search_time = 166 , fetch_t = 131 , diff = 21 %
total_search_time = 168 , fetch_t = 130 , diff = 22 %
total_search_time = 103 , fetch_t = 83 , diff = 19 %
total_search_time = 151 , fetch_t = 116 , diff = 23 %
total_search_time = 128 , fetch_t = 99 , diff = 22 %
total_search_time = 127 , fetch_t = 98 , diff = 22 %
total_search_time = 78 , fetch_t = 66 , diff = 15 %
total_search_time = 102 , fetch_t = 82 , diff = 19 %
total_search_time = 129 , fetch_t = 101 , diff = 21 %
total_search_time = 89 , fetch_t = 70 , diff = 21 %
total_search_time = 162 , fetch_t = 122 , diff = 24 %
total_search_time = 85 , fetch_t = 66 , diff = 22 %
total_search_time = 89 , fetch_t = 77 , diff = 13 %
total_search_time = 84 , fetch_t = 67 , diff = 20 %
total_search_time = 103 , fetch_t = 83 , diff = 19 %
total_search_time = 81 , fetch_t = 67 , diff = 17 %
total_search_time = 168 , fetch_t = 130 , diff = 22 %
total_search_time = 104 , fetch_t = 82 , diff = 21 %
total_search_time = 83 , fetch_t = 67 , diff = 19 %
total_search_time = 104 , fetch_t = 83 , diff = 20 %
total_search_time = 119 , fetch_t = 97 , diff = 18 %
total_search_time = 81 , fetch_t = 67 , diff = 17 %
total_search_time = 135 , fetch_t = 104 , diff = 22 %
total_search_time = 261 , fetch_t = 197 , diff = 24 %
total_search_time = 570 , fetch_t = 452 , diff = 20 %
total_search_time = 393 , fetch_t = 328 , diff = 16 %
total_search_time = 119 , fetch_t = 101 , diff = 15 %
total_search_time = 154 , fetch_t = 124 , diff = 19 %
total_search_time = 131 , fetch_t = 107 , diff = 18 %
total_search_time = 102 , fetch_t = 82 , diff = 19 %
total_search_time = 132 , fetch_t = 103 , diff = 21 %
total_search_time = 168 , fetch_t = 128 , diff = 23 %
total_search_time = 173 , fetch_t = 134 , diff = 22 %
total_search_time = 118 , fetch_t = 94 , diff = 20 %
total_search_time = 190 , fetch_t = 152 , diff = 20 %
total_search_time = 145 , fetch_t = 113 , diff = 22 %
total_search_time = 213 , fetch_t = 167 , diff = 21 %
total_search_time = 87 , fetch_t = 73 , diff = 16 %
total_search_time = 126 , fetch_t = 102 , diff = 19 %
total_search_time = 157 , fetch_t = 128 , diff = 18 %
total_search_time = 197 , fetch_t = 150 , diff = 23 %
total_search_time = 212 , fetch_t = 165 , diff = 22 %
total_search_time = 193 , fetch_t = 158 , diff = 18 %
total_search_time = 313 , fetch_t = 251 , diff = 19 %
total_search_time = 450 , fetch_t = 357 , diff = 20 %
total_search_time = 253 , fetch_t = 202 , diff = 20 %
total_search_time = 326 , fetch_t = 271 , diff = 16 %
total_search_time = 195 , fetch_t = 163 , diff = 16 %
total_search_time = 265 , fetch_t = 217 , diff = 18 %
total_search_time = 109 , fetch_t = 90 , diff = 17 %
total_search_time = 131 , fetch_t = 91 , diff = 30 %
total_search_time = 187 , fetch_t = 149 , diff = 20 %
total_search_time = 153 , fetch_t = 125 , diff = 18 %
total_search_time = 115 , fetch_t = 97 , diff = 15 %
total_search_time = 493 , fetch_t = 420 , diff = 14 %
total_search_time = 252 , fetch_t = 206 , diff = 18 %
total_search_time = 269 , fetch_t = 226 , diff = 15 %
total_search_time = 208 , fetch_t = 178 , diff = 14 %
total_search_time = 320 , fetch_t = 251 , diff = 21 %
total_search_time = 185 , fetch_t = 146 , diff = 21 %
total_search_time = 156 , fetch_t = 124 , diff = 20 %
total_search_time = 160 , fetch_t = 132 , diff = 17 %
total_search_time = 111 , fetch_t = 93 , diff = 16 %
total_search_time = 242 , fetch_t = 194 , diff = 19 %
total_search_time = 413 , fetch_t = 357 , diff = 13 %
total_search_time = 187 , fetch_t = 161 , diff = 13 %
total_search_time = 426 , fetch_t = 348 , diff = 18 %
total_search_time = 211 , fetch_t = 180 , diff = 14 %
total_search_time = 180 , fetch_t = 154 , diff = 14 %
total_search_time = 314 , fetch_t = 265 , diff = 15 %
total_search_time = 257 , fetch_t = 214 , diff = 16 %
total_search_time = 149 , fetch_t = 125 , diff = 16 %
total_search_time = 172 , fetch_t = 141 , diff = 18 %
total_search_time = 147 , fetch_t = 122 , diff = 17 %
total_search_time = 148 , fetch_t = 120 , diff = 18 %
total_search_time = 241 , fetch_t = 187 , diff = 22 %
total_search_time = 138 , fetch_t = 109 , diff = 21 %
total_search_time = 113 , fetch_t = 93 , diff = 17 %
total_search_time = 64 , fetch_t = 51 , diff = 20 %
total_search_time = 117 , fetch_t = 95 , diff = 18 %
total_search_time = 83 , fetch_t = 67 , diff = 19 %
total_search_time = 152 , fetch_t = 117 , diff = 23 %
total_search_time = 153 , fetch_t = 120 , diff = 21 %
total_search_time = 91 , fetch_t = 74 , diff = 18 %
total_search_time = 156 , fetch_t = 120 , diff = 23 %
total_search_time = 85 , fetch_t = 67 , diff = 21 %
total_search_time = 150 , fetch_t = 116 , diff = 22 %
total_search_time = 124 , fetch_t = 100 , diff = 19 %
total_search_time = 85 , fetch_t = 66 , diff = 22 %
total_search_time = 133 , fetch_t = 107 , diff = 19 %
total_search_time = 179 , fetch_t = 142 , diff = 20 %
total_search_time = 169 , fetch_t = 140 , diff = 17 %
total_search_time = 462 , fetch_t = 366 , diff = 20 %
total_search_time = 522 , fetch_t = 437 , diff = 16 %
total_search_time = 115 , fetch_t = 97 , diff = 15 %
total_search_time = 169 , fetch_t = 131 , diff = 22 %
total_search_time = 170 , fetch_t = 132 , diff = 22 %
total_search_time = 171 , fetch_t = 133 , diff = 22 %
total_search_time = 170 , fetch_t = 131 , diff = 22 %
total_search_time = 137 , fetch_t = 110 , diff = 19 %
total_search_time = 133 , fetch_t = 110 , diff = 17 %
total_search_time = 113 , fetch_t = 90 , diff = 20 %
total_search_time = 166 , fetch_t = 130 , diff = 21 %
total_search_time = 161 , fetch_t = 138 , diff = 14 %
